,Unnamed: 0,Befolkning i tusentals (x 1000),Födda,Döda,Naturlig förändring,Födelsetal per 1 000 invånare,Dödstal per 1 000 invånare,Naturlig förändring per 1 000 invånare,Total fertilitet
102,2002,4 538,55 445,44 711,10 734,122,99,24,175.0
103,2003,4 565,56 496,42 788,13 708,124,94,30,180.0
104,2004,4 592,56 959,41 635,15 324,124,91,33,183.0
105,2005,4 623,56 756,41 232,15 524,123,89,34,180.0
106,2006,4 661,58 545,41 068,17 477,126,88,37,190.0
107,2007,4 709,58 459,41 954,16 505,124,89,35,188.0
108,2008,4 768,60 497,41 712,18 785,127,87,39,196.0
109,2009,4 829,61 807,41 449,20 358,128,86,42,198.0
110,2010,4 889,61 442,41 500,19 942,126,85,41,195.0
111,2011,4 953,60 220,41 393,18 827,121,83,38,188.0
112,2012,5 019,60 255,41 992,18 263,120,84,36,185.0
